"standard","agecat","age_start","age_end","pop","source","uploaded"
"World (WHO 2000-2025) Std Million (single ages to 84)","0 years",0,0,17917,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","0 years",0,0,376321,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","0 years",0,0,3794901,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","1 years",1,1,17802,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","1 years",1,1,379990,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","1 years",1,1,3758562,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","2 years",2,2,17701,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","2 years",2,2,383179,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","2 years",2,2,3773025,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","3 years",3,3,17613,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","3 years",3,3,383741,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","3 years",3,3,3791001,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"World (WHO 2000-2025) Std Million (single ages to 84)","4 years",4,4,17536,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2011 Canadian Standard Population (single age to 84)","4 years",4,4,375833,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
"2000 U.S. Std Population (single ages to 84 - Census P25-1130)","4 years",4,4,3869031,"2019-11-14; https://seer.cancer.gov/stdpopulations",2022-02-02
